App,Source,Type,Price,Reviews,Rating,Genre,Size_MB
1 fc column application,Google,Free,0,2019,5,Sports,41
1 launch,Google,Free,0,26601,4,Personalization,5
1 second everyday video history,Apple,Paid,4.99,2433,4,Photo & Video,109
1 square feet 2 sq m,Apple,Paid,3.99,94,4,Games,63
10 A pasal to improve your head,Apple,Free,0,1,4,Games,30
10 best food for you,Google,Free,0,4980,4,Health & Fitness,3
10 minutes per day time tables,Google,Free,0,681,4,Education,48
10 pin shuffle for bowling,Apple,Paid,3.99,7315,4,Games,34
10 wpm amateur has radio cw morse code trainer,Google,Paid,1.49,10,4,Communication,3
100 block puzzle color jigsaw 10x10 board game,Apple,Free,0,18821,4,Games,25
100 members,Apple,Free,0,30967,4,Games,22
100 pics coloring free color in book game app,Apple,Free,0,1929,5,Games,256
100 pixelsquiz Guss the picture trivia games,Apple,Free,0,23160,4,Games,64
100 times or more,Google,Free,0,105766,4,Puzzle,48
10000 quotas db primary,Google,Paid,0.99,70,4,Books & Reference,3
100000 messages dp status jokes gif 2018,Google,Free,0,121,4,Lifestyle,3
1000m zombie escape,Apple,Free,0,85,4,Games,110
100c programs,Google,Free,0,20,4,Education,1
101 c programming problems,Google,Free,0,498,5,Education,5
1010,Apple,Free,0,53496,4,Games,125
11st,Google,Free,0,48732,4,Shopping,20
12 Steps Aa Company Alcoholic Anonymous,Apple,Paid,2.99,1583,4,Lifestyle,28
12 minutes athlete here workouts,Apple,Paid,2.99,362,4,Health & Fitness,23
12 oclocks Kingrpg,Apple,Free,0,20,4,Games,212
12 steps meditations about dawns on alanon,Google,Free,0,759,5,Lifestyle,15
123,Apple,Free,0,2816,4,Games,20
14th Street,Google,Free,0,0,4,Medical,29
1600,Apple,Free,0,110,4,Education,249
16bit unsigned integer value of display,Google,Free,0,16,4,Libraries & Demo,0
17th edition cable size,Google,Paid,3.08,47,4,Books & Reference,1
1800 contacts lens size,Google,Free,0,46320,5,Medical,26
1906 gun explained,Google,Paid,5.49,0,4,Books & Reference,5
1bit rpg no rpgcrowler,Apple,Free,0,378,4,Games,61
1line one line with one touch,Google,Free,0,214878,5,Board,10
1st faith in this mobile banking,Google,Free,0,0,4,Finance,31
1stitem inlistbox,Google,Paid,2.49,28728,4,Personalization,2
2 amateurs and radio cw morse code practical keys,Google,Paid,1.49,6,5,Communication,3
20 minutes ch,Google,Free,0,18532,4,News & Magazines,0
20 minutesfr the continuous update,Apple,Free,0,112,4,News,104
2000 ad comics and hard judgment,Google,Free,0,705,4,Comics,20
2016 us open golf championship,Apple,Free,0,54192,4,Sports,133
2016 us open golf championship for ipad,Apple,Free,0,146,2,Sports,140
2016 we open tennis championships,Apple,Free,0,37522,4,Sports,74
2017 bn sm rooms conference,Google,Free,0,2,4,Business,10
2017 name antibiotics guide,Google,Paid,33.98,24,4,Medical,3
2018 free of charge,Google,Free,0,25427,4,Productivity,9
2018Emboss keyboard emoticons lite stickergif,Google,Free,0,115773,4,Personalization,0
2019 tricks is file explorers,Google,Free,0,4,3,Tools,2
2020 diet for your life,Apple,Paid,2.99,5,4,Health & Fitness,1
2048,Apple,Free,0,157882,4,Games,14
2048 bts j hope kpop puzzle game,Google,Free,0,17,5,Puzzle,2
2048a,Google,Free,0,20,4,Casual,3
20wpm amateur and red radio cw morse code trainer,Google,Paid,1.49,12,4,Communication,3
211k,Google,Paid,0.99,8,5,Arcade,38
211k small,Google,Free,0,3,4,Action,39
21day meditation experience,Google,Free,0,23012,4,Health & Fitness,15
23rd qm is available,Google,Free,0,0,4,Business,6
24 megapixels hd camera,Google,Free,0,802,4,Photography,5
247 Bb,Google,Free,0,421,3,Travel & Local,53
25 days of Christmas holiday Advent calendar 2016,Apple,Free,0,38,4,Entertainment,90
25wpm amateur and red radio cw morse code trainer,Google,Paid,1.49,0,4,Tools,3
270towin,Apple,Free,0,141,4,Education,70
2TM tiles piano,Google,Free,0,8118880,5,Arcade,0
2TMdont find the white tile 2,Apple,Free,0,55077,4,Games,77
2bit cube rides again,Apple,Paid,1.99,25,4,Games,28
2date dating app love and matching,Google,Free,0,41605,4,Dating,8
2do reminders todo list notes,Google,Free,0,4649,4,Productivity,30
2gis directory browser,Google,Free,0,768833,4,Travel & Local,0
2k,Apple,Paid,7.99,1810,4,Games,1196
2k17,Apple,Paid,7.99,2408,3,Games,2813
2ldk love happening,Apple,Free,0,6,4,Games,62
2ndline second phone number,Google,Free,0,15880,4,Communication,32
2player coop zombie shot,Google,Free,0,33,4,Action,13
2rditem inlistbox,Google,Free,0,337,4,Dating,32
2s total of 2s,Google,Free,0,9,4,Education,5
2xl snocross,Apple,Paid,1.99,181,4,Games,134
2xl supercross,Apple,Paid,4.99,6093,4,Games,258
2xl supercross hd,Apple,Paid,4.99,1588,4,Games,258
30 days fitness challenge workout at home,Google,Free,0,471036,5,Health & Fitness,0
30 days from Challenge Lumowell,Google,Free,0,793,5,Health & Fitness,40
30 days from now,Google,Free,0,1886,4,Health & Fitness,7
30day hard track,Google,Free,0,224,4,Health & Fitness,0
30wpm amateur and red radio cw morse code trainer,Google,Paid,1.49,1,5,Education,3
350th Room Decoration,Google,Free,0,27,4,Art & Design,17
360 degrees,Apple,Free,0,1460,4,Games,316
360 litres,Apple,Free,0,437,4,Productivity,78
360 panorama,Apple,Paid,1.99,10463,4,Photo & Video,7
360 phone browsers see the news security search hi,Apple,Free,0,11,2,Utilities,56
360 safety free antivirus booster cleaner,Google,Free,0,16771865,5,Tools,0
360 telephone security officers,Apple,Free,0,944,4,Utilities,98
360m flight,Google,Free,0,84,4,Tools,24
365Scores live scores,Google,Free,0,1332767,5,Sports,25
365scores,Apple,Free,0,9879,4,Sports,123
3D adventure and roleplaying game,Apple,Free,0,3,4,Games,73
3Damgril dx Dremports womens dress,Google,Free,0,449,4,Casual,56
3d Gain Mode for mincraft PC edition ung modes poc,Apple,Paid,1.99,268,4,Utilities,18
3d Pixels,Apple,Free,0,301182,4,Games,1663
3d anatomical,Apple,Paid,3.99,91,4,Medical,80
3d block,Google,Free,0,16282,4,Action,35
3d block host ops,Google,Free,0,142693,4,Action,21
3d blue glass water keyboard theme,Google,Free,0,62209,4,Personalization,7
3d bowling,Google,Free,0,1076243,4,Sports,13
